"(47.534196999999999, -122.379876)" 0.00477488638608 1
"(47.683501999999997, -122.395723)" 0.0209730373575 2
"(47.719707, -122.37212)" 0.0185974770332 2
"(47.715614000000002, -122.29740099999999)" 0.00577183540999 6
"(47.663595000000001, -122.35508)" 0.0117379267761 3
"(47.550466, -122.30989599999999)" 0.0147305721885 1
"(47.526969000000001, -122.283547)" 0.0185334559378 1
"(47.543644999999998, -122.371064)" 0.00822053161298 2
"(47.663328999999997, -122.313098)" 0.00400736384672 1
"(47.551122999999997, -122.266358)" 0.0104846380004 1
"(47.694512000000003, -122.37565600000001)" 0.00194922163952 1
"(47.668652999999999, -122.366178)" 0.0111561004836 5
"(47.717934999999997, -122.34945500000001)" 0.00673049515266 1
"(47.626882999999999, -122.302381)" 0.0110822334391 1
"(47.584363000000003, -122.40007799999999)" 0.0113280397245 2
"(47.603060999999997, -122.337788)" 0.00119264621745 11
"(47.710788999999998, -122.300254)" 0.0111382574041 7
"(47.666981999999997, -122.289068)" 0.00430579168098 1
"(47.522399999999998, -122.376716)" 0.0148035202908 1
"(47.723222999999997, -122.351302)" 0.00252971856142 4
"(47.701127999999997, -122.39151699999999)" 0.0163467408372 1
"(47.579810000000002, -122.33913)" 0.0117776606336 1
"(47.539105999999997, -122.35287099999999)" 0.00548421006162 1
"(47.721407999999997, -122.35157)" 0.00279205318718 1
"(47.674574999999997, -122.354102)" 0.00750956596616 1
"(47.725732000000001, -122.290892)" 0.00727327305963 1
"(47.533464000000002, -122.39153899999999)" 0.0158265789734 1
"(47.638323, -122.37693400000001)" 0.0109314100188 4
"(47.653810999999997, -122.369996)" 0.00631686417457 1
"(47.513711999999998, -122.354472)" 0.0202232295393 1
"(47.581175999999999, -122.38654699999999)" 0.00389901243907 1
"(47.574102000000003, -122.410901)" 0.0244248128345 1
