Type,Date,Location
Aid Response,11/29/2010,47.603557 -122.332129
Aid Response,11/29/2010,47.701756 -122.335022
Automatic Medical Alarm,11/29/2010,47.64322 -122.406149
Aid Response,11/29/2010,47.710444 -122.359598
Auto Fire Alarm,11/29/2010,47.547371 -122.333831
Auto Fire Alarm,11/29/2010,47.611511 -122.32076
Auto Fire Alarm,11/29/2010,47.576178 -122.419015
Aid Response,11/29/2010,47.59415 -122.32905
Aid Response,11/29/2010,47.626721 -122.358
Aid Response,11/29/2010,47.6029 -122.331529
Medic Response,11/29/2010,47.539435 -122.325673
Medic Response,11/29/2010,47.596499 -122.322456
Aid Response,11/29/2010,47.602122 -122.319561
Aid Response,11/29/2010,47.549496 -122.377695
Aid Response,11/29/2010,47.570476 -122.28073
Aid Response,11/29/2010,47.668243 -122.275128
Medic Response,11/29/2010,47.533915 -122.352863
Car Fire,11/29/2010,47.531543 -122.278304
Aid Response,11/29/2010,47.572111 -122.396337
Fuel Spill,11/29/2010,47.62213 -122.361952
Aid Response,11/29/2010,47.661359 -122.292642
Aid Response,11/29/2010,47.688616 -122.286391
Trans to AMR,11/29/2010,47.623272 -122.355415
Aid Response,11/29/2010,47.610214 -122.336683
Aid Response,11/29/2010,47.616815 -122.311453
Aid Response,11/29/2010,47.599151 -122.293803
Auto Fire Alarm,11/29/2010,47.655243 -122.379959
Aid Response,11/29/2010,47.546136 -122.291552
Medic Response,11/29/2010,47.626221 -122.329198
Trans to AMR,11/29/2010,47.569172 -122.386768
Medic Response,11/29/2010,47.661247 -122.296741
Medic Response,11/29/2010,47.560584 -122.288822
Medic Response,11/29/2010,47.638079 -122.289975
Aid Response,11/29/2010,47.664488 -122.341349
Motor Vehicle Accident,11/29/2010,47.575574 -122.329059
Aid Response,11/29/2010,47.719638 -122.355539
Aid Response,11/29/2010,47.730302 -122.307312
Aid Response,11/29/2010,47.636271 -122.389967
Aid Response,11/29/2010,47.6029 -122.331529
Trans to AMR,11/29/2010,47.523814 -122.314954
Aid Response,11/29/2010,47.612219 -122.348524
Medic Response,11/29/2010,47.636313 -122.303844
Aid Response,11/29/2010,47.520114 -122.272516
Motor Vehicle Accident,11/29/2010,47.719353 -122.30592
Automatic Fire Alarm Resd,11/29/2010,47.528584 -122.285956
Aid Response,11/29/2010,47.633584 -122.363691
Aid Response,11/29/2010,47.575516 -122.292238
Medic Response,11/29/2010,47.519889 -122.258592
1RED 1 Unit,11/29/2010,47.648453 -122.384877
Aid Response,11/29/2010,47.535193 -122.353903
Auto Fire Alarm,11/29/2010,47.708888 -122.355482
Aid Response,11/29/2010,47.539049 -122.284755
Auto Fire Alarm,11/29/2010,47.533328 -122.298462
Aid Response,11/29/2010,47.660017 -122.363995
Medic Response,11/29/2010,47.558218 -122.300352
Medic Response,11/29/2010,47.64203 -122.324675
Aid Response,11/29/2010,47.719638 -122.355539
Medic Response,11/29/2010,47.690625 -122.360684
Medic Response,11/29/2010,47.527317 -122.3237
Aid Response,11/29/2010,47.595541 -122.298643
Trans to AMR,11/29/2010,47.64032 -122.32589
Automatic Fire Alarm Resd,11/29/2010,47.677738 -122.270265
Automatic Fire Alarm False,11/29/2010,47.607716 -122.342438
Medic Response,11/29/2010,47.522596 -122.349273
Aid Response Freeway,11/29/2010,47.509965 -122.283363
Medic Response,11/29/2010,47.683048 -122.295852
Aid Response,11/29/2010,47.596676 -122.32637
Aid Response,11/29/2010,47.657815 -122.345655
Medic Response,11/29/2010,47.599268 -122.304323
Aid Response,11/29/2010,47.635807 -122.358298
Medic Response,11/29/2010,47.696359 -122.344319
Motor Vehicle Accident,11/29/2010,47.536948 -122.270272
Aid Response Yellow,11/29/2010,47.608244 -122.296252
Aid Response,11/29/2010,47.692107 -122.304836
Aid Response,11/29/2010,47.561926 -122.376204
Aid Response,11/29/2010,47.662193 -122.366195
Aid Response,11/29/2010,47.591234 -122.301274
Motor Vehicle Accident,11/29/2010,47.733952 -122.312749
Car Fire,11/29/2010,47.537042 -122.281293
Aid Response,11/29/2010,47.68688 -122.376347
Medic Response,11/29/2010,47.542206 -122.272619
Aid Response,11/29/2010,47.685308 -122.375449
Aid Response,11/29/2010,47.609285 -122.338904
Medic Response,11/29/2010,47.661461 -122.366174
Auto Fire Alarm,11/29/2010,47.607716 -122.342438
Car Fire,11/29/2010,47.7024 -122.360743
Medic Response,11/30/2010,47.561081 -122.378956
Medic Response,11/30/2010,47.716458 -122.362266
Aid Response,11/30/2010,47.708602 -122.324588
Medic Response,11/30/2010,47.730829 -122.356907
Auto Fire Alarm,11/30/2010,47.656013 -122.3157
Aid Response,11/30/2010,47.539658 -122.287929
Medic Response,11/30/2010,47.542114 -122.387245
Aid Response,11/30/2010,47.557011 -122.2707
Medic Response,11/30/2010,47.63501 -122.34355
Aid Response,11/30/2010,47.606173 -122.297491
Aid Response Yellow,11/30/2010,47.624584 -122.356922
Aid Response Yellow,11/30/2010,47.585245 -122.386376
Aid Response,11/30/2010,47.597517 -122.327395
Aid Response,11/30/2010,47.500785 -122.241411
Aid Response,11/30/2010,47.609251 -122.335803
"Medic Response, 7 per Rule",11/30/2010,47.588027 -122.386277
Fire in Single Family Res,11/30/2010,47.547361 -122.308623
Aid Response,11/30/2010,47.669551 -122.384743
Medic Response,11/30/2010,47.671577 -122.36079
Medic Response Freeway,11/30/2010,47.607412 -122.330402
Aid Response,11/30/2010,47.613167 -122.342193
Aid Response,11/30/2010,47.532332 -122.28582
Aid Response Yellow,11/30/2010,47.573737 -122.394729
Aid Response,11/30/2010,47.609285 -122.338904
Aid Response,11/30/2010,47.523307 -122.269986
Aid Response Yellow,11/30/2010,47.665537 -122.274078
Aid Response,11/30/2010,47.557415 -122.303691
Medic Response,11/30/2010,47.511303 -122.257056
EVENT - Special Event,11/30/2010,47.621329 -122.355431
Motor Vehicle Accident,11/30/2010,47.730114 -122.292311
Aid Response,11/30/2010,47.567948 -122.289244
"Hang-Up, Aid",11/30/2010,47.60739 -122.332564
Aid Response,11/30/2010,47.696653 -122.290485
Aid Response,11/30/2010,47.690659 -122.371427
Medic Response,11/30/2010,47.600194 -122.330541
Aid Response,11/30/2010,47.57656 -122.289827
Aid Response,11/30/2010,47.66651 -122.309451
Aid Response,11/30/2010,47.599991 -122.330342
Wires Down,11/30/2010,47.626721 -122.35812
Motor Vehicle Accident,11/30/2010,47.598271 -122.335907
Aid Response,11/30/2010,47.650806 -122.384673
"Hang-Up, Aid",11/30/2010,47.669469 -122.396844
Trans to AMR,11/30/2010,47.653264 -122.358982
Aid Response,11/30/2010,47.609402 -122.332864
Medic Response,11/30/2010,47.542114 -122.387245
Aid Response,11/30/2010,47.725122 -122.312657
Aid Response,11/30/2010,47.724454 -122.286397
Aid Response,11/30/2010,47.573674 -122.32906
Aid Response,11/30/2010,47.721329 -122.296339
Medic Response,11/30/2010,47.610356 -122.307472
Aid Response,11/30/2010,47.602165 -122.330856
Medic Response,11/30/2010,47.726916 -122.347715
Trans to AMR,11/30/2010,47.599288 -122.301137
Aid Response,11/30/2010,47.600194 -122.330541
Aid Response,11/30/2010,47.636561 -122.351729
Aid Response,11/30/2010,47.540451 -122.393066
Aid Response,11/30/2010,47.537529 -122.284717
Medic Response,11/30/2010,47.697867 -122.367016
Automatic Fire Alarm Resd,11/30/2010,47.518523 -122.261646
Aid Response,11/30/2010,47.717557 -122.292775
Motor Vehicle Accident,11/30/2010,47.686768 -122.325099
Aid Response,11/30/2010,47.613037 -122.326981
Trans to AMR,11/30/2010,47.600194 -122.330541
Medic Response,11/30/2010,47.665852 -122.301917
Aid Response,11/30/2010,47.608725 -122.340242
Aid Response,11/30/2010,47.60975 -122.337793
Medic Response,11/30/2010,47.597861 -122.296281
Aid Response,11/30/2010,47.589168 -122.317929
Aid Response,11/30/2010,47.556888 -122.362926
Automatic Fire Alarm Resd,11/30/2010,47.53871 -122.27535
Aid Response,11/30/2010,47.558671 -122.29149
Aid Response,11/30/2010,47.723486 -122.33155
Aid Response Yellow,11/30/2010,47.720101 -122.292729
Auto Fire Alarm,11/30/2010,47.603342 -122.335001
Aid Response,11/30/2010,47.599103 -122.334188
Aid Response,11/30/2010,47.537641 -122.270206
Automatic Medical Alarm,11/30/2010,47.61559 -122.310151
Motor Vehicle Accident Freeway,11/30/2010,47.618721 -122.343734
Aid Response,11/30/2010,47.690626 -122.36089
Aid Response,11/30/2010,47.614317 -122.316839
Medic Response,11/30/2010,47.661269 -122.313049
Aid Response,11/30/2010,47.554548 -122.311075
Trans to AMR,11/30/2010,47.612669 -122.345319
Aid Response,11/30/2010,47.612716 -122.345399
Aid Response,11/30/2010,47.603313 -122.334975
Auto Fire Alarm,11/30/2010,47.542466 -122.275011
Auto Fire Alarm,11/30/2010,47.616391 -122.333763
Medic Response,11/30/2010,47.602985 -122.328535
Aid Response,11/30/2010,47.685359 -122.336089
Rescue Heavy,11/30/2010,47.66138 -122.332403
Aid Response,11/30/2010,47.600044 -122.334185
Aid Response,11/30/2010,47.602172 -122.330863
Aid Response,11/30/2010,47.675888 -122.271566
Aid Response,11/30/2010,47.617316 -122.347229
Aid Response,11/30/2010,47.602172 -122.330863
Activated CO Detector,11/30/2010,47.606539 -122.307633
Aid Response,11/30/2010,47.606165 -122.304764
"Medic Response, 6 per Rule",11/30/2010,47.575574 -122.325979
Medic Response,11/30/2010,47.600194 -122.330541
Automatic Medical Alarm,11/30/2010,47.630622 -122.354142
Medic Response,11/30/2010,47.617882 -122.302573
Aid Response,11/30/2010,47.526119 -122.276941
Aid Response,11/30/2010,47.612626 -122.341277
Medic Response,11/30/2010,47.659152 -122.336208
Aid Response,11/30/2010,47.592396 -122.336543
Aid Response,11/30/2010,47.586175 -122.327541
Auto Fire Alarm,11/30/2010,47.675886 -122.261435
Medic Response,11/30/2010,47.636938 -122.344127
Aid Response,11/30/2010,47.670909 -122.38256
Aid Response,11/30/2010,47.612626 -122.341277
Motor Vehicle Accident,11/30/2010,47.575276 -122.339976
Aid Response,11/30/2010,47.560144 -122.362885
Aid Response,11/30/2010,47.728371 -122.312674
Medic Response,11/30/2010,47.610044 -122.338062
Medic Response,11/30/2010,47.595541 -122.298643
Aid Response Yellow,11/30/2010,47.660173 -122.396101
Aid Response Yellow,11/30/2010,47.503178 -122.386062
Aid Response,11/30/2010,47.621951 -122.313544
Rescue Lock In/Out,11/30/2010,47.523922 -122.325003
Auto Fire Alarm,11/30/2010,47.601714 -122.328966
Auto Fire Alarm,11/30/2010,47.708935 -122.320569
Medic Response,11/30/2010,47.723223 -122.351624
Aid Response,11/30/2010,47.611694 -122.324223
Aid Response,11/30/2010,47.666366 -122.284802
Aid Response,11/30/2010,47.627745 -122.33213
Aid Response,11/30/2010,47.553383 -122.307335
Medic Response,11/30/2010,47.601649 -122.302324
Aid Response,11/30/2010,47.615877 -122.35052
Medic Response,11/30/2010,47.671626 -122.37078
Medic Response,11/30/2010,47.609088 -122.330457
Aid Response,11/30/2010,47.675953 -122.37406
Motor Vehicle Accident Freeway,11/30/2010,47.595294 -122.320793
Medic Response,11/30/2010,47.698223 -122.355381
Auto Fire Alarm,11/30/2010,47.52828 -122.365857
Aid Response Yellow,11/30/2010,47.600289 -122.302236
Motor Vehicle Accident Freeway,11/30/2010,47.640356 -122.259147
Aid Response,11/30/2010,47.58017 -122.30979
"Medic Response, 7 per Rule",11/30/2010,47.541441 -122.272083
Motor Vehicle Accident Freeway,11/30/2010,47.571481 -122.363499
"Medic Response, 7 per Rule",11/30/2010,47.60252 -122.329645
Automatic Fire Alarm Resd,11/30/2010,47.6517 -122.368314
Auto Fire Alarm,11/30/2010,47.683933 -122.263872
Trans to AMR,11/30/2010,47.615245 -122.319465
Medic Response,11/30/2010,47.522459 -122.284801
Medic Response,11/30/2010,47.602114 -122.330809
Automatic Fire Alarm False,11/30/2010,47.608845 -122.339956
Auto Fire Alarm,11/30/2010,47.571548 -122.296819
Medic Response,11/30/2010,47.539419 -122.390816
Aid Response,11/30/2010,47.68694 -122.358555
Medic Response,11/30/2010,47.549761 -122.363014
Aid Response,11/30/2010,47.601321 -122.33162
Medic Response,11/30/2010,47.621596 -122.296108
Medic Response,11/30/2010,47.60739 -122.332564
Auto Fire Alarm,11/30/2010,47.61642 -122.35365
Auto Fire Alarm,11/30/2010,47.633463 -122.277157
Aid Response,11/30/2010,47.656691 -122.330132
Trans to AMR,11/30/2010,47.710444 -122.359598
Aid Response,11/30/2010,47.721329 -122.296339
Aid Response,11/30/2010,47.690609 -122.357709
Aid Response,11/30/2010,47.539427 -122.390813
Aid Response,11/30/2010,47.538889 -122.393088
Automatic Fire Alarm Resd,11/30/2010,47.651566 -122.279517
Automatic Fire Alarm False,11/30/2010,47.612541 -122.343119
Auto Fire Alarm,11/30/2010,47.612541 -122.343119
Auto Fire Alarm,11/30/2010,47.610972 -122.340465
Aid Response,11/30/2010,47.618497 -122.327854
Trans to AMR,11/30/2010,47.616529 -122.31818
Aid Response,11/30/2010,47.649823 -122.351303
Motor Vehicle Accident,11/30/2010,47.551855 -122.323873
Auto Fire Alarm,11/30/2010,47.57137 -122.329064
Medic Response,11/30/2010,47.699627 -122.376781
Auto Fire Alarm,11/30/2010,47.664393 -122.283353
Medic Response,11/30/2010,47.713747 -122.344837
Aid Response,11/30/2010,47.563686 -122.284951
Aid Response,11/30/2010,47.676037 -122.282226
Aid Response,11/30/2010,47.523307 -122.269986
Aid Response,11/30/2010,47.614365 -122.308852
Motor Vehicle Accident,11/30/2010,47.633768 -122.297921
Auto Fire Alarm,11/30/2010,47.657942 -122.317791
Auto Fire Alarm,11/30/2010,47.651363 -122.348598
Medic Response,11/30/2010,47.602813 -122.331449
Motor Vehicle Accident Freeway,11/30/2010,47.620184 -122.328213
Auto Fire Alarm,11/30/2010,47.69062 -122.37433
"Hang-Up, Fire",11/30/2010,47.656668 -122.35098
Aid Response,11/30/2010,47.567861 -122.38677
Aid Response,11/30/2010,47.612626 -122.341277
Auto Fire Alarm,11/30/2010,47.670931 -122.387587
Medic Response,11/30/2010,47.599201 -122.331569
Auto Fire Alarm,11/30/2010,47.521023 -122.366095
Aid Response,11/30/2010,47.603588 -122.322949
Auto Fire Alarm,11/30/2010,47.656018 -122.316767
Aid Response,11/30/2010,47.653264 -122.358982
Aid Response,11/30/2010,47.52474 -122.313996
Medic Response,11/30/2010,47.661473 -122.373598
Aid Response,11/30/2010,47.616403 -122.320817
Car Fire,11/30/2010,47.55119 -122.280779
Medic Response,11/30/2010,47.600825 -122.330272
Auto Fire Alarm,11/30/2010,47.725503 -122.355552
Aid Response,11/30/2010,47.650349 -122.372373
Auto Fire Alarm,11/30/2010,47.58821 -122.302598
Aid Response,11/30/2010,47.52079 -122.390232
Aid Response,11/30/2010,47.601672 -122.305031
Auto Fire Alarm,11/30/2010,47.599906 -122.332879
Auto Fire Alarm,11/30/2010,47.615361 -122.347887
Aid Response Freeway,11/30/2010,47.551689 -122.317047
Aid Response,11/30/2010,47.573528 -122.321622
Medic Response,11/30/2010,47.531445 -122.384692
Motor Vehicle Accident,11/30/2010,47.62579 -122.337122
Aid Response,11/30/2010,47.607828 -122.339105
Aid Response,12/01/2010,47.604377 -122.325207
Aid Response,12/01/2010,47.678409 -122.369812
Aid Response,12/01/2010,47.511798 -122.39291
Medic Response,12/01/2010,47.51019 -122.251181
Aid Response Yellow,12/01/2010,47.66707 -122.301946
Automatic Medical Alarm,12/01/2010,47.698223 -122.355381
Aid Response,12/01/2010,47.694674 -122.381421
Wires Down,12/01/2010,47.605499 -122.287155
Aid Response,12/01/2010,47.696075 -122.370061
Aid Response,12/01/2010,47.539733 -122.341178
Aid Response,12/01/2010,47.619956 -122.314317
Aid Response,12/01/2010,47.565361 -122.372148
Medic Response,12/01/2010,47.618733 -122.322146
Aid Response,12/01/2010,47.701407 -122.335672
Aid Response,12/01/2010,47.66288 -122.353974
Medic Response,12/01/2010,47.637421 -122.347103
Aid Response Yellow,12/01/2010,47.650349 -122.372373
Medic Response,12/01/2010,47.709397 -122.309982
Medic Response,12/01/2010,47.688232 -122.322955
Medic Response,12/01/2010,47.618002 -122.329183
Medic Response,12/01/2010,47.675852 -122.319994
Medic Response,12/01/2010,47.527988 -122.384335
Investigate Out Of Service,12/01/2010,47.620716 -122.347603
"Medic Response, 6 per Rule",12/01/2010,47.683047 -122.30399
Aid Response,12/01/2010,47.557475 -122.364255
"Hazardous Mat, Spill-Leak",12/01/2010,47.581041 -122.325976
Trans to AMR,12/01/2010,47.733775 -122.295121
Automatic Fire Alarm Resd,12/01/2010,47.527584 -122.341658
Aid Response,12/01/2010,47.701755 -122.278904
Automatic Fire Alarm Resd,12/01/2010,47.686245 -122.26834
Medic Response,12/01/2010,47.658298 -122.317782
Aid Response,12/01/2010,47.563507 -122.324034
Aid Response,12/01/2010,47.648707 -122.399543
Auto Fire Alarm,12/01/2010,47.606176 -122.310249
Auto Fire Alarm,12/01/2010,47.615429 -122.347799
"Hang-Up, Aid",12/01/2010,47.610214 -122.336683
Aid Response,12/01/2010,47.534913 -122.280753
Aid Response,12/01/2010,47.596477 -122.302118
Aid Response,12/01/2010,47.684707 -122.266953
Medic Response,12/01/2010,47.712229 -122.322928
Medic Response,12/01/2010,47.60739 -122.332564
Aid Response,12/01/2010,47.610395 -122.316779
Aid Response,12/01/2010,47.661314 -122.309512
Alarm Bell,12/01/2010,47.549661 -122.363016
Aid Response,12/01/2010,47.622242 -122.332995
Medic Response,12/01/2010,47.571233 -122.291003
Trans to AMR,12/01/2010,47.733423 -122.355569
Aid Response Yellow,12/01/2010,47.723218 -122.348195
Aid Response,12/01/2010,47.595699 -122.319786
Aid Response,12/01/2010,47.537035 -122.28468
Aid Response,12/01/2010,47.537035 -122.28468
Aid Response,12/01/2010,47.522527 -122.355108
Auto Fire Alarm,12/01/2010,47.601667 -122.331111
Auto Fire Alarm,12/01/2010,47.610625 -122.32442
Aid Response,12/01/2010,47.573092 -122.30998
Aid Response,12/01/2010,47.609488 -122.339089
Aid Response,12/01/2010,47.72794 -122.295674
Aid Response,12/01/2010,47.625817 -122.360712
Motor Vehicle Accident,12/01/2010,47.551176 -122.277664
Aid Response,12/01/2010,47.655846 -122.33506
Medic Response,12/01/2010,47.629759 -122.352492
Auto Fire Alarm,12/01/2010,47.613838 -122.341324
Trans to AMR,12/01/2010,47.537037 -122.284506
Auto Fire Alarm,12/01/2010,47.610972 -122.340465
Aid Response,12/01/2010,47.546358 -122.2998
Aid Response,12/01/2010,47.611207 -122.337592
Aid Response,12/01/2010,47.722639 -122.290831
Trans to AMR,12/01/2010,47.551888 -122.359955
Aid Response,12/01/2010,47.615877 -122.35052
Trans to AMR,12/01/2010,47.615027 -122.335199
Medic Response,12/01/2010,47.555165 -122.283484
Activated CO Detector,12/01/2010,47.653171 -122.39307
Auto Fire Alarm,12/01/2010,47.610972 -122.340465
Aid Response,12/01/2010,47.661257 -122.306399
Motor Vehicle Accident,12/01/2010,47.615207 -122.289239
Aid Response,12/01/2010,47.71783 -122.296317
Aid Response,12/01/2010,47.6029 -122.331529
Activated CO Detector,12/01/2010,47.712729 -122.320661
Medic Response,12/01/2010,47.722899 -122.293194
Aid Response,12/01/2010,47.563567 -122.29522
Medic Response,12/01/2010,47.718248 -122.356205
Aid Response,12/01/2010,47.610387 -122.341198
Aid Response,12/01/2010,47.568815 -122.317278
Aid Response,12/01/2010,47.612626 -122.341277
Trans to AMR,12/01/2010,47.619908 -122.320873
Aid Response,12/01/2010,47.665969 -122.301933
Aid Response,12/01/2010,47.606444 -122.325563
Aid Response,12/01/2010,47.701698 -122.362125
Aid Response,12/01/2010,47.632744 -122.363702
Aid Response,12/01/2010,47.602306 -122.332519
Aid Response,12/01/2010,47.617316 -122.347229
Medic Response,12/01/2010,47.608051 -122.339309
Medic Response,12/01/2010,47.623103 -122.31361
Aid Response,12/01/2010,47.582838 -122.386485
Medic Response,12/01/2010,47.668531 -122.282294
Medic Response,12/01/2010,47.590349 -122.386192
Trans to AMR,12/01/2010,47.726864 -122.348012
Medic Response,12/01/2010,47.608051 -122.339309
Aid Response,12/01/2010,47.506014 -122.376013
Medic Response,12/01/2010,47.73104 -122.347764
Medic Response,12/01/2010,47.544854 -122.385752
Medic Response,12/01/2010,47.672097 -122.262084
Aid Response,12/01/2010,47.610467 -122.303702
Aid Response,12/01/2010,47.705083 -122.355152
Aid Response,12/01/2010,47.611542 -122.319866
Aid Response,12/01/2010,47.639859 -122.400995
Aid Response Freeway,12/01/2010,47.566974 -122.32047
"Medic Response, 7 per Rule",12/01/2010,47.637416 -122.355598
Medic Response,12/01/2010,47.706854 -122.336149
Aid Response,12/01/2010,47.521244 -122.336301
Aid Response,12/01/2010,47.549772 -122.288795
Aid Response Yellow,12/01/2010,47.503178 -122.386062
Medic Response,12/01/2010,47.641207 -122.346471
Automatic Fire Alarm Resd,12/01/2010,47.628776 -122.304754
Aid Service,12/01/2010,47.719609 -122.344937
Aid Response,12/01/2010,47.678789 -122.262227
Aid Response,12/01/2010,47.696081 -122.33871
Automatic Fire Alarm Resd,12/01/2010,47.527584 -122.341658
Medic Response,12/01/2010,47.496845 -122.268458
Aid Response,12/01/2010,47.61762 -122.310139
Aid Response,12/01/2010,47.543546 -122.361201
Aid Response,12/01/2010,47.587882 -122.321391
Auto Fire Alarm,12/01/2010,47.682104 -122.262218
Aid Response,12/01/2010,47.600878 -122.331215
Medic Response,12/01/2010,47.609902 -122.323791
Aid Response,12/01/2010,47.719638 -122.355539
Auto Fire Alarm,12/01/2010,47.537839 -122.294797
Aid Response,12/01/2010,47.626221 -122.329198
Aid Response,12/01/2010,47.627192 -122.356823
Medic Response,12/01/2010,47.681606 -122.271673
Aid Response,12/01/2010,47.640677 -122.328355
Medic Response,12/01/2010,47.533081 -122.311224
Aid Response,12/01/2010,47.581556 -122.339966
Natural Gas Odor,12/01/2010,47.591904 -122.325968
Auto Fire Alarm,12/01/2010,47.667252 -122.380052
Aid Response,12/01/2010,47.556206 -122.282918
Aid Response,12/01/2010,47.710387 -122.328619
Trans to AMR,12/01/2010,47.66651 -122.309451
Medic Response,12/01/2010,47.732311 -122.293827
Medic Response,12/01/2010,47.572163 -122.296173
Medic Response,12/01/2010,47.719307 -122.300247
Medic Response,12/01/2010,47.653311 -122.358956
Aid Response,12/01/2010,47.732881 -122.296531
Aid Response,12/01/2010,47.597512 -122.324388
Aid Response,12/01/2010,47.544216 -122.36991
Alarm Bell,12/01/2010,47.598349 -122.323426
Aid Response,12/01/2010,47.606761 -122.336594
Aid Response,12/01/2010,47.65996 -122.342217
Medic Response,12/01/2010,47.622249 -122.314667
Car Fire W/Exp.,12/01/2010,47.63717 -122.357037
Medic Response,12/01/2010,47.588414 -122.309467
Aid Response,12/01/2010,47.616403 -122.320817
Aid Response,12/01/2010,47.616026 -122.347029
"Medic Response, 6 per Rule",12/01/2010,47.616499 -122.325545
Aid Response Yellow,12/01/2010,47.577156 -122.379192
Auto Fire Alarm,12/01/2010,47.605897 -122.331199
Car Fire,12/01/2010,47.608228 -122.334866
Medic Response,12/01/2010,47.620814 -122.332852
Trans to AMR,12/01/2010,47.708935 -122.320569
Aid Response,12/01/2010,47.648468 -122.376109
Aid Response,12/01/2010,47.605227 -122.320749
Motor Vehicle Accident,12/01/2010,47.663651 -122.366191
Motor Vehicle Accident,12/01/2010,47.663651 -122.366191
Auto Fire Alarm,12/01/2010,47.542303 -122.375157
Aid Response,12/01/2010,47.606801 -122.333562
Automatic Fire Alarm Resd,12/01/2010,47.606539 -122.307633
Aid Response,12/01/2010,47.615659 -122.318166
Medic Response,12/01/2010,47.689836 -122.357842
Medic Response,12/01/2010,47.639559 -122.396988
Aid Response,12/01/2010,47.686206 -122.357421
Aid Response,12/01/2010,47.614973 -122.32858
Medic Response,12/01/2010,47.615781 -122.334715
Aid Response,12/01/2010,47.562728 -122.294695
Auto Fire Alarm,12/01/2010,47.624569 -122.350928
Aid Response,12/01/2010,47.690681 -122.344523
Aid Response,12/01/2010,47.570501 -122.314758
Aid Response,12/01/2010,47.596673 -122.32455
Aid Response,12/01/2010,47.693985 -122.379137
Medic Response,12/01/2010,47.709397 -122.309982
Aid Response,12/01/2010,47.624578 -122.355404
Aid Response,12/01/2010,47.560885 -122.295935
Medic Response,12/01/2010,47.616403 -122.330069
Aid Response,12/01/2010,47.69681 -122.327101
Auto Fire Alarm,12/01/2010,47.640973 -122.398319
Aid Response,12/01/2010,47.617243 -122.347105
Medic Response,12/01/2010,47.614057 -122.334061
Aid Response,12/01/2010,47.617173 -122.333103
Aid Response,12/01/2010,47.560967 -122.339439
Medic Response,12/01/2010,47.62227 -122.355423
Aid Response,12/01/2010,47.502144 -122.242531
Medic Response,12/01/2010,47.574153 -122.386763
Aid Response,12/01/2010,47.599227 -122.311217
Aid Response,12/01/2010,47.614499 -122.312771
Medic Response,12/02/2010,47.496513 -122.26055
Car Fire,12/02/2010,47.617795 -122.348039
Medic Response,12/02/2010,47.497359 -122.261063
Aid Response,12/02/2010,47.542466 -122.275011
Aid Response,12/02/2010,47.670183 -122.384743
Aid Response,12/02/2010,47.538884 -122.282179
Aid Response,12/02/2010,47.705035 -122.333876
Aid Response,12/02/2010,47.641415 -122.363587
Aid Response,12/02/2010,47.732881 -122.296531
Auto Fire Alarm,12/02/2010,47.658303 -122.312213
Medic Response,12/02/2010,47.602172 -122.330863
Aid Response,12/02/2010,47.530053 -122.355054
Aid Response,12/02/2010,47.574384 -122.329059
Aid Response,12/02/2010,47.616606 -122.32082
Medic Response,12/02/2010,47.622242 -122.332995
Aid Response,12/02/2010,47.56111 -122.386957
Medic Response,12/02/2010,47.662448 -122.300908
1RED 1 Unit,12/02/2010,47.634394 -122.376133
Medic Response,12/02/2010,47.603555 -122.30635
Medic Response,12/02/2010,47.623481 -122.358024
Aid Response Yellow,12/02/2010,47.59761 -122.301159
Aid Response,12/02/2010,47.524693 -122.360479
Single Medic Unit,12/02/2010,47.72959 -122.324067
Aid Response,12/02/2010,47.710738 -122.323338
Aid Response,12/02/2010,47.618602 -122.355453
Aid Response Yellow,12/02/2010,47.72343 -122.348165
Aid Response,12/02/2010,47.612136 -122.335373
Medic Response,12/02/2010,47.602172 -122.330863
Automatic Medical Alarm,12/02/2010,47.58917 -122.38895
Aid Response,12/02/2010,47.602985 -122.328535
Medic Response,12/02/2010,47.613098 -122.334718
Aid Response,12/02/2010,47.626721 -122.358
Car Fire,12/02/2010,47.691055 -122.355307
Aid Response,12/02/2010,47.569775 -122.287207
Medic Response,12/02/2010,47.721092 -122.295448
Medic Response,12/02/2010,47.553402 -122.279146
Motor Vehicle Accident Freeway,12/02/2010,47.571406 -122.343497
Aid Response,12/02/2010,47.666675 -122.382133
Aid Response,12/02/2010,47.536696 -122.270213
Activated CO Detector,12/02/2010,47.549748 -122.286273
Auto Fire Alarm,12/02/2010,47.667074 -122.354421
Aid Response,12/02/2010,47.602172 -122.330863
Unk Odor,12/02/2010,47.554164 -122.333878
Aid Response Yellow,12/02/2010,47.617316 -122.347229
Medic Response,12/02/2010,47.61426 -122.323403
Aid Response,12/02/2010,47.710811 -122.281078
Aid Response,12/02/2010,47.601718 -122.331581
Medic Response,12/02/2010,47.615789 -122.336507
Aid Response,12/02/2010,47.712167 -122.312433
Medic Response,12/02/2010,47.596676 -122.32637
Medic Response,12/02/2010,47.627155 -122.346245
Aid Response,12/02/2010,47.613436 -122.344632
Car Fire,12/02/2010,47.666467 -122.38475
Aid Response,12/02/2010,47.633523 -122.277157
Medic Response,12/02/2010,47.566289 -122.408748
Medic Response,12/02/2010,47.616827 -122.345996
Aid Response Yellow,12/02/2010,47.715775 -122.298186
Aid Response,12/02/2010,47.610321 -122.343637
Aid Response,12/02/2010,47.721329 -122.296339
Aid Response,12/02/2010,47.627192 -122.356823
